Animal_n	clone_ID	time_of_electroporation_	time_of_analysis	clone_type	clone_subtype	M-L_dispersion_(µm)	clone_size	number_of_BG	number_of_GLA	number_of_WMA	number_of_CNA	number_of_VZA	localization
1	cG	E12	P30	HetC	WMA_CNA	300	2	0	0	1	1	0	NA
1	cGcKcY	E12	P30	HomC	WMA	50	1	0	0	1	0	0	NA
1	cGcKcYcR	E12	P30	HomC	WMA	150	4	0	0	4	0	0	NA
1	cR	E12	P30	HetC	GLA_WMA	400	4	0	2	2	0	0	NA
1	nCnGnKnY	E12	P30	HomC	WMA	50	2	0	0	2	0	0	NA
1	nGnKnY	E12	P30	HomC	WMA	50	1	0	0	1	0	0	NA
1	nGnKnYnR	E12	P30	HetC	BG_GLA_WMA	150	8	1	6	1	0	0	NA
1	nKnR	E12	P30	HetC	BG_WMA	650	3	1	0	2	0	0	NA
1	nKnYnR	E12	P30	HomC	WMA	50	1	0	0	1	0	0	NA
1	nR	E12	P30	HomC	WMA	50	1	0	0	1	0	0	NA
1	nSnC	E12	P30	HetC	BG_GLA	1250	6	4	2	0	0	0	NA
1	nSnCcGcKcYcR	E12	P30	HomC	WMA	50	1	0	0	1	0	0	NA
1	nSnCcGnKnYnR	E12	P30	HomC	BG	50	2	2	0	0	0	0	NA
1	nSnCnG	E12	P30	HomC	WMA_CNA	50	2	0	0	1	1	0	NA
1	nSnCnGcKcY	E12	P30	HomC	WMA	50	2	0	0	2	0	0	NA
1	nSnCnGnK	E12	P30	HomC	CNA	50	2	0	0	0	2	0	NA
1	nSnCnGnR	E12	P30	HetC	WMA_CNA	200	3	0	0	1	2	0	NA
1	nSnG	E12	P30	HomC	WMA	50	1	0	0	1	0	0	NA
1	nSnGnKnR	E12	P30	HomC	WMA	50	2	0	0	2	0	0	NA
2	cCcGcKcY	E12	P30	HetC	BG_GLA	1150	30	23	7	0	0	0	CrusI,_Cp,_VIb
2	cCcGcKcYcR	E12	P30	HetC	BG_GLA_WMA	1600	40	16	14	10	0	0	Simplex,_CrusI,_CrusII,_Pm,_Cp,_IX
