Animal_n	clone_ID	time_of_electroporation_	time_of_analysis	clone_type	clone_subtype	clone_subtype	M-L_dispersion_(microns)	clone_size	number_of_BG	number_of_GLA	number_of_WMA	number_of_VZA	localization
1	cGcKcY	E14	P0	HomC	PWM	PWM	50	3	0	0	3	0	pwm
1	cGcKcYcR	E14	P0	HomC	Cortical	BGp	50	3	3	0	0	0	ant
1	cGnG	E14	P0	HomC	Cortical	BGp	50	4	4	0	0	0	ant
1	cScG	E14	P0	HetC	Cortical_PWM	BGp_PWM	50	4	3	0	1	0	ant_pwm
1	cSnScCcGcKnKcYnYcR	E14	P0	HomC	PWM	PWM	50	2	0	0	2	0	pwm
1	cSnScCnCcGnGcKnKcYnYcRnR	E14	P0	HomC	PWM	PWM	50	3	0	0	3	0	pwm
1	cSnScCnCcGnGnKnY	E14	P0	HomC	PWM	PWM	50	6	0	0	6	0	pwm
1	nGnKnYnR	E14	P0	HomC	PWM	PWM	50	1	0	0	1	0	pwm
1	nKnY	E14	P0	HomC	PWM	PWM	50	3	0	0	3	0	pwm
1	nScCnCcGnGnKnY	E14	P0	HomC	PWM	PWM	50	3	0	0	3	0	pwm
1	nScGnGcKnKcYnYnR	E14	P0	HetC	Cortical	BGp_GLA	50	2	1	1	0	0	ant
1	nScGnGnKnY	E14	P0	HomC	PWM	PWM	50	6	0	0	6	0	pwm
1	nSnCcGnG	E14	P0	HomC	Cortical	BGp	50	5	5	0	0	0	ant
1	nSnCcGnGcKnKcYnY	E14	P0	HomC	Cortical	BGp	50	1	1	0	0	0	ant
1	nSnCcGnGcKnKcYnYnR	E14	P0	HomC	Cortical	BGp	50	1	1	0	0	0	ant
1	nSnCnGnKnYnR	E14	P0	HomC	PWM	PWM	50	3	0	0	3	0	pwm
1	nSnGnKnY	E14	P0	HomC	PWM	PWM	50	1	0	0	1	0	pwm
1	nSnGnKnYnR	E14	P0	HomC	PWM	PWM	50	2	0	0	2	0	pwm
2	cCcGnGcKcYcR_(C_K_Y_R_low)	E14	P0	HomC	PWM	PWM	100	2	0	0	2	0	pwm
2	cCcGnGcKnKcYnYcRnR	E14	P0	HomC	Cortical	BGp	50	3	3	0	0	0	ant
2	cGcKcY_(G_e_Y_low__K_very_low)	E14	P0	HomC	PWM	PWM	50	2	0	0	2	0	pwm
2	cGcKcY_(all_low)	E14	P0	HomC	PWM	PWM	800	3	0	0	3	0	pwm
2	cGcKcYcR_(all_low)	E14	P0	HomC	PWM	PWM	50	2	0	0	2	0	pwm
