Animal_n	clone_ID	time_of_electroporation_	time_of_analysis	clone_type	clone_subtype	M__L_dispersion_(µm)	clone_size	number_of_BG	number_of_GLA	number_of_WMA	number_of_CNA	number_of_VZA	localization
1	cCcG	E14	P30	HomC	GLA	50	1	0	1	0	0	0	IX
1	cG	E14	P30	HetC	BG_GLA	50	10	3	7	0	0	0	X__IX
1	cGcKcY	E14	P30	HetC	BG_GLA_WMA	100	7	4	2	1	0	0	IX__X
1	cKcY	E14	P30	HomC	GLA	50	1	0	1	0	0	0	X
1	cRnR	E14	P30	HomC	GLA	50	2	0	2	0	0	0	IX
1	cScC	E14	P30	HomC	WMA	50	1	0	0	1	0	0	X
1	cScCcG	E14	P30	HomC	GLA	100	5	0	5	0	0	0	IX__X
1	cScCcGcKcY	E14	P30	HomC	GLA	50	2	0	2	0	0	0	X
1	cScCcGcKcYcR	E14	P30	HomC	WMA	150	3	0	0	3	0	0	X__VIII
1	cScGcKcY	E14	P30	HomC	GLA	50	4	0	4	0	0	0	II__III
1	cSnSnC	E14	P30	HomC	GLA	50	2	0	2	0	0	0	IX
1	cSnSnCnG	E14	P30	HomC	GLA	50	1	0	1	0	0	0	IX
1	nGnKnY	E14	P30	HomC	WMA	50	1	0	0	1	0	0	X
1	nScCcGcK	E14	P30	HomC	WMA	50	2	0	0	2	0	0	Deep_WM
1	nScG	E14	P30	HomC	GLA	50	1	0	1	0	0	0	X
1	nScGcKcY	E14	P30	HomC	WMA	50	2	0	0	2	0	0	IX
1	nScGnG	E14	P30	HomC	GLA	200	5	0	5	0	0	0	IX__X
1	nSnC	E14	P30	HetC	GLA_WMA	50	12	0	10	2	0	0	II_a_VI
1	nSnCcG	E14	P30	HetC	BG_GLA	50	3	2	1	0	0	0	IX
1	nSnCcGnG	E14	P30	HomC	GLA	50	1	0	1	0	0	0	VIII
1	nSnCcGnGcKnKcYnY	E14	P30	HomC	GLA	50	1	0	1	0	0	0	IX
1	nSnCcGnKnYnR	E14	P30	HetC	BG_WMA	50	2	1	0	1	0	0	X
2	cG	E14	P30	HomC	WMA	50	1	0	0	1	0	0	IX
2	cGcKcY	E14	P30	HetC	BG_GLA	50	5	4	1	0	0	0	X
2	cGcKcYcR	E14	P30	HetC	BG_GLA	50	6	NA	NA	0	0	0	X
2	cScCcGcKcYnR	E14	P30	HomC	GLA	50	3	0	3	0	0	0	X
2	nScCnCcGnGcKcY	E14	P30	HetC	GLA_WMA	50	3	0	NA	NA	0	0	X
2	nScGcKcY	E14	P30	HomC	WMA	50	1	0	0	1	0	0	X
2	nSnCcGcKcY	E14	P30	HomC	GLA	50	1	0	1	0	0	0	X
2	nSnG	E14	P30	HomC	GLA	50	4	0	4	0	0	0	X
3	cG__(low)	E14	P30	HetC	BG_GLA_WMA	350	12	8	3	1	0	0	I/II__III
3	cG	E14	P30	HetC	BG_GLA_WMA	400	25	7	12	6	0	0	I/II__IV/V
